,Kanji,Reading,Meaning,Frequency
33,離す,はなす,to separate; to part; to divide; to keep apart,3188.0
34,離れる,はなれる,"[1] to be separated; to be apart; to be distant [2] to leave; to go away [3] to leave (a job, etc.); to quit; to give up",579.0
35,羽,はね,"[1] feather; plume; down [2] wing [3] blade (of a fan, propeller, etc.)",
36,母親,ははおや,mother,550.0
37,幅,はば,[1] width; breadth [2] freedom (e.g. of thought); latitude [3] gap; difference (e.g. in price); range (e.g. of voice),2006.0
38,省く,はぶく,[1] to omit; to leave out; to exclude; to eliminate [2] to curtail; to save; to cut down; to economize; to economise,
39,腹,はら,"[10] counter for hard roe [11] counter for containers with bulging middles (pots, vases, etc.) [1] abdomen; belly; stomach",1427.0
40,原,はら,field; plain; prairie; tundra; moor; wilderness,
41,針,はり,[1] needle; pin [2] hook [3] stinger; thorn,2517.0
42,範囲,はんい,extent; scope; sphere; range; span,1551.0
43,反抗,はんこう,opposition; resistance; insubordination; defiance; hostility; rebellion,
44,,ハンサム,handsome,
45,犯罪,はんざい,crime; offence; offense,1739.0
46,判断,はんだん,[1] judgment; judgement; decision; conclusion; adjudication [2] divination [3] judgement,801.0
47,犯人,はんにん,offender; criminal; culprit,1737.0
48,販売,はんばい,sale; sales; selling; marketing,1652.0
49,場,ば,[1] place; spot; space [2] field; discipline; sphere; realm [3] occasion; situation,615.0
50,,バイオリン,violin,
51,馬鹿,ばか,[1] idiot; moron; fool [2] stupid; foolish; dull; absurd; ridiculous [3] trivial; insignificant; disappointing,1162.0
52,麦酒,ばくしゅ,beer,
53,莫大,ばくだい,[1] vast; huge; immense; enormous; colossal [2] malva nut (Scaphium affine),
54,爆発,ばくはつ,[1] explosion; detonation; blast; blowing up; eruption [2] outburst (of emotion); explosion (e.g. of anger); eruption (e.g. of discontent),3654.0
55,,バッグ,bag,3737.0
56,罰する,ばっする,to punish; to penalize; to penalise,
57,,ばったり,[1] with a clash; with a thud; with a bang; with a flop; plump [2] unexpectedly (meeting someone) [3] suddenly (ending); abruptly (coming to a halt),
58,場面,ばめん,"[1] scene; setting; place (where something happens); scenario; case [2] scene (in a movie, play); shot [3] state of the market",1654.0
59,,バン,[1] bun (hairstyle) [2] Van (Turkey); Bang; Wend,
60,番,ばん,[1] number (in a series) [2] (one's) turn [3] watch; guard; lookout,
61,,パイプ,[1] pipe; tube [2] (tobacco) pipe [3] cigarette holder,
62,,パイロット,pilot,
63,,パス,"[1] passing (an examination, inspection, etc.) [2] pass (for admission, transport, etc.); ticket [3] pass (of a ball)",3951.0
64,,パスポート,passport,4683.0
65,,パーセント,percent; per cent; percentage,
66,灯,ひ,light; lamp,
67,比較,ひかく,comparison,1358.0
68,被害,ひがい,(suffering) damage; injury; harm,1439.0
69,轢く,ひく,to run over (with a vehicle); to knock down,
70,悲劇,ひげき,[1] tragedy; tragic drama; tragic play [2] tragedy; calamity; disaster,4299.0
71,飛行,ひこう,flight; flying; aviation,
72,膝,ひざ,[1] knee [2] lap; knee and thigh (while sitting),1829.0
73,非常,ひじょう,[1] emergency [2] extreme; great; extraordinary; remarkable; unusual; terrible; severe,129.0
74,額,ひたい,forehead; brow,
75,必死,ひっし,[1] frantic; frenetic; desperate [2] inevitable death [3] brinkmate (inevitable checkmate),1958.0
76,引っ張る,ひっぱる,[10] to quote; to cite; to reference [11] to pull the ball [12] to wear; to put on,2303.0
77,日付,ひづけ,date; dating,4448.0
78,否定,ひてい,[1] denial; negation; repudiation; disavowal [2] negation [3] NOT operation,1978.0
79,一言,ひとこと,single word; a few words; brief comment,1233.0
80,人ごみ,ひとごみ,crowd of people,
81,等しい,ひとしい,[1] equal; identical; the same [2] no different (from); just like; equivalent,3896.0
82,一人一人,ひとりひとり,each (person); individually; one by one; one at a time; in turn,2108.0
83,批判,ひはん,criticism; judgement; judgment; comment,1740.0
84,批評,ひひょう,criticism; critique; review; commentary,
85,秘密,ひみつ,[1] secret; secrecy; confidentiality; privacy [2] mystery [3] secret (e.g. to success),2395.0
86,紐,ひも,[1] string; cord [2] leash [3] man who is financially dependent on a woman; gigolo; pimp,3195.0
87,表,ひょう,[1] table; chart; list [2] memorial to an emperor,928.0
88,評価,ひょうか,[1] valuation; appraisal; evaluation; assessment; estimation; rating; judging [2] appreciation; recognition; acknowledgement; rating highly; praising,748.0
89,表現,ひょうげん,[1] expression; representation; description [2] representation (of a group),766.0
90,表情,ひょうじょう,"[1] facial expression; countenance [2] look; appearance; expression (vocal, etc.)",1124.0
91,評判,ひょうばん,[1] reputation; (public) estimation; popularity [2] rumour; rumor; talk (e.g. of the town) [3] fame; notoriety,2990.0
92,表面,ひょうめん,[1] surface; face [2] outside; exterior [3] appearances; superficiality,2211.0
93,費用,ひよう,cost; expense,1570.0
94,広がる,ひろがる,to spread (out); to extend; to stretch; to reach to; to get around; to fill (e.g. a space),891.0
95,品,ひん,"[1] elegance; grace; refinement; class; dignity [2] article; item [3] counter for items (of food, etc.); counter for dishes or courses (at a restaurant)",
96,美人,びじん,beautiful woman; (a) beauty,4352.0
97,吃驚,びっくり,[1] to be surprised; to be amazed; to be frightened; to be astonished; to get startled; to jump [2] surprise (e.g. surprise party),734.0
98,,ビデオ,[1] video (esp. a televised image) [2] videotape; VHS tape; videocassette [3] videocassette recorder; VCR,1757.0
99,微妙,びみょう,"[1] subtle; delicate; fine [2] difficult; complex; tricky; delicate (situation, position, etc.); close (e.g. decision) [3] doubtful; questionable; dicey",2228.0
100,秒,びょう,[1] second (unit of time) [2] arc second,
101,平等,びょうどう,[1] equality; impartiality; evenness [2] Byoudou,3401.0
102,便,びん,[1] flight (e.g. airline flight); trip (e.g. train trip); service [2] mail; post; letter [3] opportunity; chance,
103,瓶,びん,bottle; jar; decanter; flagon; phial; vial,3933.0
104,,ビール,[1] beer [2] Biel (Switzerland); Bir (India); Beal; Beale; Bier,1663.0
105,,ピクニック,[1] picnic [2] outing; hike,
106,,ぴったり,[1] tightly; closely [2] exactly; precisely [3] suddenly (stopping),2779.0
107,,ピン,"[1] pin (e.g. hairpin, safety pin) [2] (bowling) pin [3] pin; flagstick",
108,不,ふ,un-; non-,
109,不安,ふあん,anxiety; uneasiness; worry; apprehension; fear; insecurity; suspense,686.0
110,風景,ふうけい,[1] scenery; scene; landscape; view; sight [2] scene (e.g. of a crime),1686.0
111,夫婦,ふうふ,married couple; husband and wife; man and wife,1620.0
112,笛,ふえ,[1] flute; fife; pipe; recorder; flageolet; shakuhachi; clarinet [2] whistle,
113,不可,ふか,[1] wrong; bad; improper; unjustifiable; inadvisable [2] not allowed; not possible [3] failing grade,
114,服装,ふくそう,attire; dress; clothes; clothing; costume; garb,3357.0
115,含む,ふくむ,"[1] to contain; to comprise; to have; to hold; to include; to embrace [2] to hold in the mouth [3] to bear in mind; to understand; to harbor (grudge, etc.); to harbour",507.0
116,袋,ふくろ,[1] bag; sack; pouch [2] skin of an orange (and other like fruits) [3] dead end,2688.0
117,不幸,ふこう,[1] unhappiness; sorrow; misfortune; disaster; accident [2] death (usu. of a relative); bereavement,2764.0
118,節,ふし,[1] joint; knuckle [2] tune; melody [3] node (of a plant stem); joint; knot (in wood); knob,
119,不思議,ふしぎ,[1] wonderful; marvelous; strange; incredible; amazing; curious; miraculous; mysterious [2] strangely enough; oddly enough; for some reason; curiously,815.0
120,不自由,ふじゆう,"[1] discomfort; inconvenience [2] poverty; want; destitution; lack [3] inability; disability; impairment (physical, mental, etc.); nonfluency (in a language)",4266.0
121,夫人,ふじん,"[1] wife; Mrs; madam [2] wife of a nobleman (aristocrat, etc.) [3] consort of the emperor",
122,婦人,ふじん,woman; lady; adult female,
123,不正,ふせい,injustice; unfairness; wrongdoing; iniquity; impropriety; irregularity; dishonesty; illegality; fraud,
124,防ぐ,ふせぐ,[1] to defend against; to protect against [2] to prevent; to avert; to avoid,2077.0
125,不足,ふそく,[1] insufficiency; deficiency; shortage; lack; scarcity; deficit [2] dissatisfaction; discontent; complaint,2880.0
126,双子,ふたご,[1] twins; twin [2] Futago,
127,再び,ふたたび,again; once more; a second time,1050.0
128,普段,ふだん,[1] usual; normal; everyday; habitual; ordinary [2] usually; normally; generally; habitually; always,787.0
129,縁,ふち,rim; brim; edge; brink,
130,筆,ふで,[1] writing brush; paintbrush; pen [2] writing with a brush; drawing with a brush; penmanship; something drawn with a brush [3] writing (composing text); the written word,4032.0
131,不図,ふと,suddenly; casually; accidentally; incidentally; unexpectedly; unintentionally,1815.0
132,不平,ふへい,discontent; dissatisfaction; complaint; grievance,
133,不満,ふまん,dissatisfaction; discontent; displeasure; complaint; unhappiness,2194.0
134,不利,ふり,disadvantage; handicap; unfavorable position,
135,振る,ふる,[10] to bring up a topic; to lead to a topic [11] to replace; to substitute [12] to set up a joke for someone else,974.0
136,震える,ふるえる,to shiver; to shake; to quake; to tremble; to quaver; to quiver,2563.0
137,故郷,ふるさと,[1] hometown; birthplace; native place; one's old home [2] ruins; historic remains,4002.0
138,触れる,ふれる,[1] to touch; to feel [2] to touch (with) [3] to experience; to come in contact with; to perceive,821.0
139,雰囲気,ふんいき,[1] atmosphere; mood; ambience; ambiance; aura; feel [2] a certain air; presence; special aura; something (about someone) [3] (Earth's) atmosphere,771.0
140,分,ぶ,"[1] one-tenth; one percent (one-tenth of a wari); 3 mm (one-tenth of a sun); 2.4 mm (one-tenth of a mon, a traditional unit used to measure shoe sizes); 0.1 degree (one-tenth of a do, used to measure body temperature on any temperature scale) [2] one-quarter of a ryō (obsolete unit of currency) [3] thickness",
141,無,ぶ,[1] un-; non- [2] bad ...; poor ...,
142,武器,ぶき,[1] weapon; arms; ordnance [2] weapon (something used to gain an advantage); asset,2912.0
143,無事,ぶじ,[1] safety; security; peace; quiet [2] safely; without incident; successfully [3] good health,1505.0
144,舞台,ぶたい,"[1] stage (of a theatre, concert hall, etc.); (stage) performance [2] setting (of a story); scene [3] sphere (of activity); stage (e.g. political stage); scene; arena; world",1418.0
145,物価,ぶっか,prices of commodities; prices (in general); cost-of-living,4117.0
146,物質,ぶっしつ,[1] material; substance [2] matter,2390.0
147,打つ,ぶつ,[1] to hit (someone); to strike; to beat [2] to make (a speech); to give (an address) [3] to gamble,
148,部分,ぶぶん,portion; section; part,349.0
149,,ブレーキ,"[1] brake [2] (a) stop (to a development, behavior, etc.); (the) brakes",
150,分,ぶん,"[1] part; portion; share [2] amount; worth (as in ""two days' worth""); enough (for) [3] one's means; one's place; one's lot; one's social position",990.0
151,文,ぶん,[1] sentence [2] composition; text; writings [3] the literary arts (as opposed to the military arts); academia; literature,3031.0
152,分析,ぶんせき,analysis,2057.0
153,文明,ぶんめい,[1] civilization; civilisation; culture [2] Bunmei era (1469.4.28-1487.7.20),3109.0
154,分野,ぶんや,field; sphere; realm; division; branch,1483.0
155,,プラス,[1] plus; addition [2] positive (number) [3] plus sign; positive symbol,1788.0
156,,プラン,[1] plan; scheme [2] (payment) plan; package; deal; offer,4421.0
157,,プロ,[1] professional; pro [2] program [3] production,1412.0
158,塀,へい,[1] wall [2] fence,
159,平均,へいきん,[1] average; mean [2] balance; equilibrium,3055.0
160,平和,へいわ,peace; harmony,1716.0
161,減らす,へらす,to abate; to decrease; to diminish; to shorten,2162.0
162,減る,へる,to decrease (in size or number); to diminish; to abate,957.0
163,変化,へんか,[1] change; variation; alteration; mutation; transition; transformation; transfiguration; metamorphosis [2] variety; diversity [3] inflection; declension; conjugation,539.0
164,変更,へんこう,change; modification; alteration; revision; amendment,1155.0
165,別に,べつに,[1] (not) particularly; (not) especially; (not) specially [2] separately; apart; additionally; extra,2917.0
166,,ベルト,[1] belt (worn around the waist) [2] (machine) belt [3] belt; zone; area,
167,,ベンチ,bench,4742.0
168,弁当,べんとう,bento; Japanese box lunch,2001.0
169,,ペンキ,paint,
170,方,ほう,"[1] direction; way; side; area (in a particular direction) [2] side (of an argument, etc.); one's part [3] type; category",91.0
171,法,ほう,[1] law; act; principle [2] method [3] mood,2171.0
172,方向,ほうこう,[1] direction; orientation; bearing; way [2] course (e.g. of action),1024.0
173,報告,ほうこく,report; information,1115.0
174,宝石,ほうせき,gem; jewel; precious stone,
175,放送,ほうそう,broadcasting; broadcast; program; announcement,2248.0
176,豊富,ほうふ,abundant; plentiful; rich; ample,2127.0
177,方法,ほうほう,method; way; manner; process; procedure; means; measure,368.0
178,方々,ほうぼう,here and there; this way and that way; everywhere; all over,
179,訪問,ほうもん,call; visit,2966.0
180,吠える,ほえる,[1] to bark; to howl; to bay; to roar; to yelp; to yap [2] to howl (of the wind); to roar (of the sea) [3] to yell; to shout; to cry; to moan,
181,頬,ほお,cheek (of the face),3504.0
182,誇り,ほこり,pride; boast; credit (to),3084.0
183,埃,ほこり,[1] dust [2] Hokori,4905.0
184,保証,ほしょう,[1] guarantee; security; assurance; pledge [2] warranty,3372.0
185,保障,ほしょう,[1] guarantee; security; assurance; pledge [2] warranty,3735.0
186,保存,ほぞん,[1] preservation; conservation; storage; maintenance [2] saving (e.g. to disk),1688.0
187,仏,ほとけ,[1] Buddha; Shakyamuni [2] Buddhist image; figure of Buddha [3] the dead; dead person; departed soul,
188,程,ほど,[1] extent; degree; measure [2] limit; bounds [3] (span of) time,
189,歩道,ほどう,footpath; walkway; sidewalk; pavement,4481.0
190,骨,ほね,[1] bone [2] frame [3] outline; core,1715.0
191,炎,ほのお,"[1] flame; blaze [2] flames (of intense emotion, e.g. love, jealousy, anger); passion",3926.0
192,微笑む,ほほえむ,to smile,4059.0
193,略,ほぼ,almost; roughly; approximately; about; around,1002.0
194,堀,ほり,[1] moat; fosse [2] canal; ditch,
195,本人,ほんにん,the person in question; the person themselves; said person,959.0
196,本物,ほんもの,genuine article; real thing; real deal,2425.0
197,,ホーム,platform,2632.0
198,棒,ぼう,[1] pole; rod; stick; baton [2] line; dash [3] spoken monotonously,3364.0
199,冒険,ぼうけん,[1] adventure; venture [2] venture which is unlikely to succeed; risky attempt; danger; hazard; risk,
200,,ぼんやり,[1] dimly; faintly; indistinctly; vaguely [2] absentmindedly; vacantly; carelessly [3] idly; aimlessly,4200.0
201,,ボーイ,[1] boy [2] bellboy; porter; waiter,
202,,ボート,boat; rowing boat,
203,,ボール,[1] ball [2] ball (pitch delivered outside the strike zone),1022.0
0,間,ま,[1] time; pause [2] space [3] room,774.0
1,,まあ,"[1] just (e.g. ""just wait here""); come now; now, now [2] tolerably; passably; moderately; reasonably; fairly; rather; somewhat [3] well...; I think...; it would seem...; you might say...; Hmmm, I guess so...",23.0
2,,マイク,mike; mic; microphone,4876.0
3,迷子,まいご,lost child; lost person; stray child; missing child,
4,任せる,まかせる,"[1] to leave (a matter, decision, etc. to someone); to entrust (to someone); to entrust (someone) with [2] to leave (to chance, one's imagination, etc.); to let (take its own course); to let (happen); to give (oneself to something) [3] to use (money, strength, spare time, etc.) to the full; to use freely; to use without reserve",2066.0
5,幕,まく,[1] curtain [2] act (in a play) [3] falling of the curtain; end (of a scene),
6,負け,まけ,"[1] defeat; loss; losing (a game) [2] failing to live up to (one's name, looks, etc.) [3] discount; loss (on a sale)",
7,誠に,まことに,indeed; really; absolutely; truly; actually; very; quite,
8,孫,まご,grandchild,1835.0
9,真逆,まさか,"[1] by no means; never!; well, I never!; you don't say!; certainly (not) [2] something unexpected; emergency [3] currently; for the time being; presently; for now",1960.0
10,正に,まさに,[1] exactly; just; precisely; really; truly; surely; certainly; without doubt [2] right (when); just (as) [3] just (about to); on the point of; on the verge of; on the brink of,985.0
11,真面目,まじめ,[1] serious; earnest; sober; grave [2] honest; sincere,2205.0
12,増す,ます,to increase; to grow,2287.0
13,,マスター,[1] to master (a skill) [2] proprietor; manager; owner; barkeeper [3] leader; chief; head,4518.0
14,益々,ますます,increasingly; more and more; decreasingly (when declining); less and less,1390.0
15,先ず,まず,[1] first (of all); firstly; to begin with; before anything else [2] probably; most likely; almost certainly; virtually [3] more or less (satisfactory); on the whole; reasonably,150.0
16,貧しい,まずしい,[1] poor; needy [2] lacking (quantity and quality-wise); poor; scanty; skimpy; slight; inadequate,3516.0
17,間違い,まちがい,[1] mistake; error; blunder [2] accident; mishap; trouble [3] improper conduct (e.g. between man and woman); indiscretion,1717.0
18,真っ赤,まっか,[1] bright red; deep red; flushed (of face) [2] downright (e.g. lie); complete; utter,3177.0
19,全く,まったく,[1] really; truly; entirely; completely; wholly; perfectly [2] indeed [3] good grief,289.0
20,松,まつ,[1] pine tree (Pinus spp.) [2] highest (of a three-tier ranking system),3672.0
21,祭り,まつり,"[1] festival; feast; matsuri [2] harassment by an Internet pitchfork mob; online shaming; flaming [3] galore (as in ""goals galore""); frenzy; mania",1469.0
22,学ぶ,まなぶ,to learn; to study; to take lessons in,851.0
23,真似,まね,[1] imitating; copying; mimicry [2] behavior; behaviour; action; conduct,2624.0
24,招く,まねく,[1] to invite; to ask [2] to beckon; to wave someone in; to gesture to [3] to call in; to send for; to summon,2364.0
25,,ママ,"[1] mom; mommy; mum; mummy; mother; mama; mamma [2] female proprietress (of a bar, etc.)",2081.0
26,豆,まめ,"[1] legume (esp. edible legumes or their seeds, e.g. beans, peas, pulses); bean; pea [2] soya bean (Glycine max); soybean; soy [3] female genitalia (esp. the clitoris)",4041.0
27,守る,まもる,[1] to protect; to guard; to defend [2] to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow,599.0
28,丸,まる,[1] circle [2] entirety; whole; full; complete [3] money; dough; moola,3622.0
29,丸で,まるで,[1] quite; entirely; completely; at all [2] as if; as though; just like,997.0
30,回す,まわす,[10] to invest (money); to lend [11] to dial (a telephone number) [12] to gang-rape,1464.0
31,回り,まわり,[1] rotation [2] making the rounds [3] spreading,
32,万一,まんいち,[1] (unlikely event of) emergency; the worst(-case scenario); 10000 to 1 [2] (if) by some chance; by some possibility; in the unlikely event that,
33,満足,まんぞく,[1] satisfaction; contentment; gratification [2] sufficient; satisfactory; enough; adequate; proper; decent [3] satisfying (an equation),2226.0
34,,マーケット,[1] market [2] Marquette; Marquat,
35,身,み,"[1] one's body; one's person [2] oneself; one's appearance [3] one's place (in society, etc.); one's position",504.0
36,実,み,"[1] fruit; nut [2] seed [3] (in broth) pieces of meat, vegetable, etc.",2376.0
37,見送り,みおくり,[1] seeing (someone) off; send-off [2] deferment; postponement; shelving [3] letting a pitch go by,
38,味方,みかた,[1] friend; ally; supporter [2] taking sides (with); supporting; standing by; backing up,3199.0
39,見事,みごと,[1] splendid; magnificent; excellent; fine; superb; beautiful; admirable [2] utter (esp. defeat); total; complete [3] something worth seeing; sight; spectacle,1759.0
40,,ミス,mistake; error; blunder,3197.0
41,満ちる,みちる,[1] to fill; to become full (of); to be filled (with); to brim (with) [2] to wax (of the moon) [3] to rise (of the tide); to flow; to come in,3160.0
42,密,みつ,[1] dense; thick; crowded [2] close (relationship); intimate [3] minute; fine; careful,
43,認める,みとめる,[1] to recognize; to recognise; to observe; to notice [2] to deem; to judge; to assess [3] to approve; to deem acceptable; to allow,490.0
44,見舞い,みまい,[1] visit (to someone affected by illness or misfortune); call; inquiry (about someone's health); expression of sympathy [2] letter of inquiry; letter of sympathy; get-well letter; gift (in token of one's sympathy),
45,土産,みやげ,[1] local specialty or souvenir bought as a gift while travelling [2] present brought by a visitor [3] something unpleasant that one is given (e.g. an illness while on vacation); unwelcome gift; disservice,
46,都,みやこ,"[1] capital (esp. Kyoto, Japan's former capital); seat of government [2] capital (of music, fashion, etc.); city (e.g. of light) [3] location of the Imperial Palace",4007.0
47,妙,みょう,[1] strange; weird; odd; curious [2] wonder; mystery; miracle; excellence [3] cleverness; adroitness; knack; skill,2262.0
48,未来,みらい,[1] (distant) future [2] future existence; world beyond the grave; the world to come [3] future (tense),1802.0
49,魅力,みりょく,charm; fascination; glamour; glamor; attraction; appeal,1313.0
50,,ミルク,[1] milk [2] infant formula; formula; baby milk [3] condensed milk,4281.0
51,無,む,[1] nothing; naught; nought; nil; zero [2] un-; non-,
52,向い,むかい,facing; opposite; across the street; other side,
53,迎え,むかえ,[1] meeting; greeting; welcome [2] person sent to meet a visitor,
54,向く,むく,"[1] to turn toward; to look (up, down, etc.) [2] to face (e.g. east) (of a building, window, etc.); to look out on; to front (on) [3] to point (of an arrow, compass needle, etc.)",2674.0
55,向ける,むける,[1] to turn (towards); to face; to point; to aim; to direct to [2] to head to; to go towards [3] to allot; to allocate,610.0
56,無視,むし,disregarding; ignoring,1817.0
57,虫歯,むしば,tooth decay; cavity; decayed tooth; dental caries,
58,寧ろ,むしろ,rather; better; instead; if anything,993.0
59,結ぶ,むすぶ,[1] to tie; to bind; to link [2] to bear (fruit) [3] to close (e.g. deal); to confirm; to conclude,1359.0
60,無駄,むだ,futility; waste; uselessness; pointlessness; idleness,1614.0
61,夢中,むちゅう,[1] absorbed in; immersed in; crazy about; obsessed with; devoted to [2] forgetting oneself; daze; trance; ecstasy; delirium [3] within a dream; while dreaming,2526.0
62,胸,むね,[1] chest; breast [2] breasts; bosom; bust [3] heart,887.0
63,無料,むりょう,free (of charge); gratuitous,1436.0
64,芽,め,[1] sprout; shoot; bud [2] germinal disk (in an egg),4037.0
65,明確,めいかく,clear; precise; definite; distinct,1704.0
66,命じる,めいじる,[1] to order; to command [2] to appoint,
67,名人,めいじん,[1] master; expert [2] Meijin (professional title),
68,命令,めいれい,[1] order; command; decree; directive [2] (software) instruction; statement,2335.0
69,迷惑,めいわく,[1] trouble; bother; annoyance; nuisance; inconvenience [2] to be troubled (by); to be bothered (by); to be inconvenienced (by),1671.0
70,飯,めし,[1] cooked rice [2] meal; food [3] one's living; livelihood,4158.0
71,滅多に,めったに,rarely; seldom,
72,,メモ,note; memo; memorandum,3125.0
73,面,めん,[1] face [2] mask; face guard [3] striking the head (in kendo),722.0
74,綿,めん,cotton,
75,免許,めんきょ,license; licence; permission; permit; certificate,2555.0
76,面倒,めんどう,[1] trouble; bother [2] trouble; difficulty [3] care; attention,1646.0
77,,メンバー,[1] member; participant; attendee; lineup (sport) [2] Memba,1278.0
78,申し込む,もうしこむ,to apply for; to make an application; to propose (marriage); to offer (mediation); to make an overture (of peace); to challenge; to lodge (objections); to request (an interview); to subscribe for; to book; to reserve,3678.0
79,申し訳,もうしわけ,apology; excuse,2814.0
80,毛布,もうふ,blanket,
81,燃える,もえる,to burn; to get fired up,2678.0
82,目的,もくてき,purpose; goal; aim; objective; intention,553.0
83,目標,もくひょう,[1] goal; target; aim; objective [2] mark; sign; landmark,1152.0
84,木曜,もくよう,Thursday,
85,若しも,もしも,if; in case; supposing,
86,文字,もじ,[1] letter (of an alphabet); character [2] writing,1005.0
87,持ち上げる,もちあげる,[1] to elevate; to raise; to lift up [2] to flatter; to extol; to praise to the sky,4069.0
88,用いる,もちいる,to use; to make use of; to utilize; to utilise,785.0
89,勿論,もちろん,of course; certainly; naturally,260.0
90,尤も,もっとも,[1] but then; although; though [2] reasonable; natural; just,
91,最も,もっとも,most; extremely,2222.0
92,元,もと,[10] counter for plants or trees [11] counter for falcons (in falconry) [1] origin; source; beginning,
93,元,もと,[1] former; ex-; past; one-time [2] earlier times; the past; previous state [3] formerly; previously; originally; before,
94,基づく,もとづく,[1] to be based (on); to be founded (on); to be grounded (on); to be in accordance (with) [2] to be due to; to come (from); to arise (from); to originate (in),773.0
95,求める,もとめる,[1] to want; to wish for [2] to request; to demand; to require; to ask for [3] to seek; to search for; to look for; to pursue (pleasure); to hunt (a job); to find (a solution),472.0
96,戻す,もどす,"[1] to put back; to return; to give back; to restore (to a previous state, e.g. defrosting, reconstituting, reconciling); to turn back (e.g. clock hand) [2] to vomit; to throw up [3] to recover (of a market price)",1553.0
97,者,もの,person,334.0
98,物音,ものおと,noise; sound,
99,物語,ものがたり,story; tale; narrative; account; fable; legend,1965.0
100,物事,ものごと,things; everything,2628.0
101,模様,もよう,[1] pattern; figure; design [2] state; condition [3] conjecture of the current situation; the way it seems,3028.0
102,貰う,もらう,"[1] to receive; to take; to accept [2] to get someone to do something [3] to have in one's pocket (a fight, match)",474.0
103,文句,もんく,[1] complaint; grumbling; objection [2] phrase; words; expression,2271.0
0,軈て,やがて,[1] before long; soon; shortly [2] almost; nearly [3] finally; in the end; eventually,1129.0
1,役,やく,"[1] role; assignment; responsibility; duty; function; job; service [2] position (of responsibility); post; office [3] part (in a play, film, etc.); role; character",1183.0
2,約,やく,[1] approximately; about [2] promise; appointment; engagement [3] shortening; reduction; simplification,
3,訳,やく,"translation; version (e.g. ""English version"")",
4,役割,やくわり,part; assigning (allotment of) parts; role; duties,1009.0
5,家賃,やちん,rent,3549.0
6,厄介,やっかい,[1] trouble; burden; nuisance; bother; worry [2] care; dependence; support; kindness; obligation; staying (with a person),
7,雇う,やとう,"[1] to employ; to hire; to take on [2] to charter (a car, boat, etc.); to hire",3302.0
8,宿,やど,"[1] lodging; inn; hotel [2] house; home; dwelling [3] home of a servant's parents (or guarantor, etc.)",2380.0
9,屋根,やね,roof,2579.0
10,矢張り,やはり,[1] as expected; sure enough; just as one thought [2] after all (is said and done); in the end; as one would expect; in any case [3] too; also; as well; likewise; (not) either,
11,破る,やぶる,"[1] to tear; to rip; to break; to destroy [2] to break through (cordon, opponent's defense, etc.); to breach [3] to defeat; to beat",3176.0
12,辞める,やめる,"to resign; to retire; to quit; to leave (one's job, etc.)",
13,稍,やや,a little; partially; somewhat; slightly; semi-; -ish; on the ... side; a short time; a while,1656.0
14,唯一,ゆいいつ,only; sole; unique,1795.0
15,勇気,ゆうき,courage; bravery; valour; valor; nerve; boldness,2206.0
16,有効,ゆうこう,[1] valid; effective [2] yuko (judo),1808.0
17,優秀,ゆうしゅう,superior; excellent; brilliant; outstanding,3217.0
18,優勝,ゆうしょう,[1] overall victory; championship; winning the title [2] (being in) heaven; bliss; perfect contentment,2124.0
19,友情,ゆうじょう,friendship; fellowship; camaraderie,
20,友人,ゆうじん,friend,475.0
21,有能,ゆうのう,able; capable; competent; talented; efficient,
22,郵便,ゆうびん,[1] mail service; postal service; mail; post [2] mail; postal matter; postal items,
23,有利,ゆうり,[1] advantageous; favourable; better; stronger [2] profitable; lucrative; gainful; paying,3425.0
24,床,ゆか,[1] floor [2] stage (for the narrator and the shamisen player) [3] dining platform built across a river,1681.0
25,愉快,ゆかい,pleasant; delightful; enjoyable; joyful; cheerful; amusing; happy,
26,輸出,ゆしゅつ,[1] export; exportation [2] efferent,2783.0
27,譲る,ゆずる,[1] to hand over; to transfer; to turn over; to assign; to convey; to bequeath [2] to give up (e.g. one's seat); to give way [3] to yield; to concede; to give ground; to surrender,3552.0
28,豊か,ゆたか,[1] abundant; plentiful; rich; ample [2] rich; wealthy; affluent; well-off [3] open (mind); relaxed; easy,1281.0
29,輸入,ゆにゅう,[1] import; importation; introduction [2] afferent,2023.0
30,許す,ゆるす,[1] to permit; to allow; to approve; to consent to [2] to forgive; to pardon; to excuse; to tolerate [3] to exempt (someone) from; to remit; to release; to let off,927.0
31,,ユーモア,humor; humour; joke,
32,夜明け,よあけ,dawn; daybreak,
33,様,よう,[1] appearing ...; looking ... [2] way to ...; method of ...ing [3] form; style; design,
34,酔う,よう,[1] to get drunk; to become intoxicated [2] to feel sick (e.g. in a vehicle); to become nauseated [3] to be elated; to be exalted; to be spellbound; to be in raptures,4239.0
35,容易,ようい,easy; simple; plain,2317.0
36,陽気,ようき,[1] cheerful; jovial; merry; lively [2] weather; season [3] spirit of yang,
37,要求,ようきゅう,demand; firm request; requisition; requirement; desire,1373.0
38,用心,ようじん,care; precaution; guarding; caution,
39,様子,ようす,[1] state (of affairs); situation; circumstances [2] appearance; look(s); air; manner; behaviour; demeanor [3] sign; indication,695.0
40,要するに,ようするに,in short; in a word; to sum up; to put it simply; to make a long story short; after all,578.0
41,要素,ようそ,[1] component; factor; item (e.g. in list) [2] element (e.g. in array); member (e.g. data structure),1988.0
42,要点,ようてん,gist; main point,
